Experiment #,Question #,Number of Answers,Start Date/Seconds After Start Date,Answer Chosen,Answer Order,Number of Characters in Each Answer,Total Experiment Time (Seconds),How Answers Ordered,IP Address [Removed],Time Mouse Scrolled Over Answer 1 (Seconds After Start Time),Time Mouse Moved Away From Answer 1 (Seconds After Start Time),Time Mouse Scrolled Over Answer 2 (Seconds After Start Time),Time Mouse Moved Away From Answer 2 (Seconds After Start Time),Time Mouse Scrolled Over Answer 3 (Seconds After Start Time),Time Mouse Moved Away From Answer 3 (Seconds After Start Time),Time Mouse Scrolled Over Answer 4 (Seconds After Start Time),Time Mouse Moved Away From Answer 4 (Seconds After Start Time),Time Mouse Scrolled Over Answer 5 (Seconds After Start Time),Time Mouse Moved Away From Answer 5 (Seconds After Start Time),Time Mouse Scrolled Over Answer 6 (Seconds After Start Time),Time Mouse Moved Away From Answer 6 (Seconds After Start Time),Time Mouse Scrolled Over Answer 7 (Seconds After Start Time),Time Mouse Moved Away From Answer 7 (Seconds After Start Time),Time Mouse Scrolled Over Answer 8 (Seconds After Start Time),Time Mouse Moved Away From Answer 8 (Seconds After Start Time),Amazon Worker ID
,,,,,3,734,,,,,,,,,,,,,,,,,,,,
,8,8,86,1,5,542,,,,93.736,93.954,95.505,97.382,NA,NA,97.383,97.895,90.3,90.686,92.464,92.892,NA,NA,90.749,91.752,
,,,,,8,1027,,,,94.347,94.769,,,,,,,,,95.153,95.26,,,,,
,,,,,6,333,,,,95.031,95.079,,,,,,,,,,,,,,,
,,,,,1,835,,,,,,,,,,,,,,,,,,,,
,,,,,2,4415,,,,,,,,,,,,,,,,,,,,
,,,,,7,108,,,,,,,,,,,,,,,,,,,,
,,,,,3,105,,,,,,,,,,,,,,,,,,,,
,,,,,4,1531,,,,,,,,,,,,,,,,,,,,
,9,2,101,2,1,708,,,,NA,NA,105.264,105.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,1394,,,,,,105.491,107.426,,,,,,,,,,,,,
,10,8,110,8,8,110,,,,115.223,116.213,115.063,115.135,NA,NA,116.213,116.411,NA,NA,115.031,115.047,115.135,115.223,112.831,114.114,
,,,,,6,184,,,,,,,,,,116.488,116.847,,,,,,,114.458,114.999,
,,,,,2,421,,,,,,,,,,,,,,,,,,,,
,,,,,7,238,,,,,,,,,,,,,,,,,,,,
,,,,,5,179,,,,,,,,,,,,,,,,,,,,
,,,,,1,1713,,,,,,,,,,,,,,,,,,,,
,,,,,3,469,,,,,,,,,,,,,,,,,,,,
,,,,,4,516,,,,,,,,,,,,,,,,,,,,
2,1,2,0,2,1,219,610,random,,16.569,16.97,40.286,42.281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AVOF14300525D
,,,,,2,203,,,,17.293,26.655,65.874,66.198,,,,,,,,,,,,,
,,,,,,,,,,66.209,68.528,68.567,68.593,,,,,,,,,,,,,
,,,,,,,,,,,,68.888,71.713,,,,,,,,,,,,,
,2,8,76,6,4,204,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.942,126.342,NA,NA,NA,NA,
,,,,,8,330,,,,,,,,,,,,,,,,,,,,
,,,,,6,1265,,,,,,,,,,,,,,,,,,,,
,,,,,7,1203,,,,,,,,,,,,,,,,,,,,
,,,,,1,753,,,,,,,,,,,,,,,,,,,,
,,,,,3,1347,,,,,,,,,,,,,,,,,,,,
,,,,,2,439,,,,,,,,,,,,,,,,,,,,
,,,,,5,919,,,,,,,,,,,,,,,,,,,,
,3,8,136,7,4,171,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.919,169.179,NA,NA,
,,,,,8,176,,,,,,,,,,,,,,,,,,,,
,,,,,6,482,,,,,,,,,,,,,,,,,,,,
,,,,,1,168,,,,,,,,,,,,,,,,,,,,
,,,,,5,260,,,,,,,,,,,,,,,,,,,,
,,,,,7,492,,,,,,,,,,,,,,,,,,,,
,,,,,2,139,,,,,,,,,,,,,,,,,,,,
,,,,,3,280,,,,,,,,,,,,,,,,,,,,
,4,8,176,2,1,1490,,,,NA,NA,199.363,201.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,6,3146,,,,,,,,,,,,,,,,,,,,
,,,,,2,149,,,,,,,,,,,,,,,,,,,,
,,,,,7,2010,,,,,,,,,,,,,,,,,,,,
,,,,,3,466,,,,,,,,,,,,,,,,,,,,
,,,,,8,131,,,,,,,,,,,,,,,,,,,,
,,,,,5,1528,,,,,,,,,,,,,,,,,,,,
,,,,,4,262,,,,,,,,,,,,,,,,,,,,
,5,8,218,2,6,325,,,,NA,NA,258.201,259.809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,8,199,,,,,,,,,,,,,,,,,,,,
,,,,,3,588,,,,,,,,,,,,,,,,,,,,
,,,,,1,177,,,,,,,,,,,,,,,,,,,,
,,,,,7,426,,,,,,,,,,,,,,,,,,,,
,,,,,4,300,,,,,,,,,,,,,,,,,,,,
,,,,,5,4414,,,,,,,,,,,,,,,,,,,,
,,,,,2,211,,,,,,,,,,,,,,,,,,,,
,6,2,266,2,2,312,,,,296.607,296.913,266.795,267.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,1004,,,,,,277.299,277.363,,,,,,,,,,,,,
,,,,,,,,,,,,278.167,279.829,,,,,,,,,,,,,
,7,8,303,5,3,734,,,,NA,NA,346.029,346.104,NA,NA,NA,NA,343.083,344.39,NA,NA,NA,NA,NA,NA,
,,,,,6,860,,,,,,413.86,414.114,,,,,344.4,345.333,,,,,,,
,,,,,1,739,,,,,,,,,,,,,,,,,,,,
,,,,,7,195,,,,,,,,,,,,,,,,,,,,
,,,,,4,1012,,,,,,,,,,,,,,,,,,,,
,,,,,5,532,,,,,,,,,,,,,,,,,,,,
,,,,,2,302,,,,,,,,,,,,,,,,,,,,
,,,,,8,2848,,,,,,,,,,,,,,,,,,,,
,8,2,422,1,1,835,,,,447.327,448.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,4415,,,,,,,,,,,,,,,,,,,,
,9,8,468,5,4,826,,,,NA,NA,NA,NA,NA,NA,NA,NA,487.013,487.61,NA,NA,NA,NA,NA,NA,
,,,,,7,381,,,,,,,,,,,,,,,,,,,,
,,,,,1,708,,,,,,,,,,,,,,,,,,,,
,,,,,5,2005,,,,,,,,,,,,,,,,,,,,
,,,,,8,1578,,,,,,,,,,,,,,,,,,,,
,,,,,3,435,,,,,,,,,,,,,,,,,,,,
,,,,,6,1283,,,,,,,,,,,,,,,,,,,,
,,,,,2,1394,,,,,,,,,,,,,,,,,,,,
,10,2,550,2,1,1713,,,,NA,NA,562.541,564.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,421,,,,,,603.158,604.325,,,,,,,,,,,,,
3,1,8,0,2,6,298,612,random,,27.404,28.619,31.218,39.026,NA,NA,24.757,26.422,30.525,31.217,24.357,24.477,30.15,30.525,26.423,27.403,A3MPHGI584PR1U
,,,,,4,1225,,,,,,39.044,39.141,,,28.619,29.381,,,,,,,29.43,30.149,
,,,,,1,219,,,,,,,,,,,,,,,,,,,,
,,,,,8,403,,,,,,,,,,,,,,,,,,,,
,,,,,3,205,,,,,,,,,,,,,,,,,,,,
,,,,,7,229,,,,,,,,,,,,,,,,,,,,
,,,,,5,451,,,,,,,,,,,,,,,,,,,,
,,,,,2,203,,,,,,,,,,,,,,,,,,,,
,2,8,40,4,5,919,,,,59.196,60.129,56.737,58.064,54.999,55.788,63.486,63.801,49.67,54.999,58.065,59.194,55.788,56.737,NA,NA,
,,,,,3,1347,,,,79.624,83.396,125.54,125.988,85.495,86.284,64.124,79.623,86.284,86.888,83.396,84.673,84.674,85.494,,,
,,,,,7,1203,,,,126.427,126.842,,,124.847,125.21,126.842,129.699,124.077,124.847,125.988,126.427,125.21,125.539,,,
,,,,,2,439,,,,,,,,,,,,,,,,,,,,
,,,,,6,1265,,,,,,,,,,,,,,,,,,,,
,,,,,1,753,,,,,,,,,,,,,,,,,,,,
,,,,,8,330,,,,,,,,,,,,,,,,,,,,
,,,,,4,204,,,,,,,,,,,,,,,,,,,,
,3,2,131,1,2,139,,,,172.827,172.859,172.913,172.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,168,,,,173.582,173.635,173.498,173.551,,,,,,,,,,,,,
,,,,,,,,,,175.525,176.232,176.642,176.68,,,,,,,,,,,,,
,,,,,,,,,,176.564,176.611,183.913,184.198,,,,,,,,,,,,,
,,,,,,,,,,184.583,185.943,,,,,,,,,,,,,,,
,,,,,,,,,,186.004,186.037,,,,,,,,,,,,,,,
,4,8,187,3,7,2010,,,,272.34,281.267,300.852,300.918,281.268,293.639,296.886,300.819,293.738,295.248,295.249,296.885,237.233,247.902,300.955,301.028,
,,,,,1,1490,,,,,,,,,,,,,,,,261.096,272.339,,,
,,,,,3,466,,,,,,,,,,,,,,,,,,,,
,,,,,5,1528,,,,,,,,,,,,,,,,,,,,
,,,,,6,3146,,,,,,,,,,,,,,,,,,,,
,,,,,4,262,,,,,,,,,,,,,,,,,,,,
,,,,,2,149,,,,,,,,,,,,,,,,,,,,
,,,,,8,131,,,,,,,,,,,,,,,,,,,,
,5,2,302,1,2,211,,,,341.324,348.61,326.322,339.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,177,,,,349.702,349.967,,,,,,,,,,,,,,,
,,,,,,,,,,350.218,350.667,,,,,,,,,,,,,,,
,,,,,,,,,,350.692,350.755,,,,,,,,,,,,,,,
,6,2,351,2,2,312,,,,355.113,355.911,355.966,356.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,1004,,,,386.737,389.862,371.632,374.425,,,,,,,,,,,,,
,,,,,,,,,,391.607,393.306,374.679,382.025,,,,,,,,,,,,,
,,,,,,,,,,394.57,395.271,382.75,386.043,,,,,,,,,,,,,
,,,,,,,,,,,,393.685,394.412,,,,,,,,,,,,,
,,,,,,,,,,,,394.516,394.54,,,,,,,,,,,,,
,7,8,396,7,8,2848,,,,425.569,441.593,459.961,460.294,460.295,460.704,457.71,459.579,461.361,461.879,461.895,462.876,441.594,456.763,419.488,425.568,
,,,,,1,739,,,,,,,,460.999,461.36,,,,,,,,,,,
,,,,,7,195,,,,,,,,,,,,,,,,,,,,
,,,,,4,1012,,,,,,,,,,,,,,,,,,,,
,,,,,2,302,,,,,,,,,,,,,,,,,,,,
,,,,,3,734,,,,,,,,,,,,,,,,,,,,
,,,,,5,532,,,,,,,,,,,,,,,,,,,,
,,,,,6,860,,,,,,,,,,,,,,,,,,,,
,8,2,463,2,1,835,,,,521.492,523.008,524.429,529.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,4415,,,,529.627,538.163,538.163,538.894,,,,,,,,,,,,,
,,,,,,,,,,,,539.13,539.132,,,,,,,,,,,,,
,,,,,,,,,,,,539.302,539.34,,,,,,,,,,,,,
,,,,,,,,,,,,539.668,541.039,,,,,,,,,,,,,
,9,2,542,1,1,708,,,,564.052,565.547,566.396,566.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,1394,,,,,,,,,,,,,,,,,,,,
,10,8,567,4,3,469,,,,591.267,593.056,593.738,594.821,579.524,580.476,606.621,609.369,597.723,599.016,588.068,588.27,599.017,606.62,NA,NA,
,,,,,6,184,,,,,,,,,,609.414,609.827,,,,,,,,,
,,,,,1,1713,,,,,,,,,,609.851,610.14,,,,,,,,,
,,,,,2,421,,,,,,,,,,,,,,,,,,,,
,,,,,5,179,,,,,,,,,,,,,,,,,,,,
,,,,,8,110,,,,,,,,,,,,,,,,,,,,
,,,,,7,238,,,,,,,,,,,,,,,,,,,,
,,,,,4,516,,,,,,,,,,,,,,,,,,,,
4,1,2,0,2,2,203,280,random,,12.246,12.767,4.022,4.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A1AJG4BGSRPC93
,,,,,1,219,,,,,,7.259,12.182,,,,,,,,,,,,,
,2,2,18,2,2,439,,,,35.4,42.302,21.891,22.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,753,,,,46.796,48.214,34.8,35.4,,,,,,,,,,,,,
,,,,,,,,,,49.181,49.213,49.693,50.077,,,,,,,,,,,,,
,,,,,,,,,,50.181,50.869,50.093,50.149,,,,,,,,,,,,,
,3,8,52,2,5,260,,,,NA,NA,96.579,96.765,101.161,101.794,NA,NA,55.511,96.579,100.749,101.16,101.794,102.127,102.127,102.5,
,,,,,2,139,,,,,,99.701,100.717,,,,,96.789,97.293,,,,,,,
,,,,,6,482,,,,,,,,,,,,97.573,98.941,,,,,,,
,,,,,1,168,,,,,,,,,,,,98.957,99.013,,,,,,,
,,,,,3,280,,,,,,,,,,,,,,,,,,,,
,,,,,4,171,,,,,,,,,,,,,,,,,,,,
,,,,,7,492,,,,,,,,,,,,,,,,,,,,
,,,,,8,176,,,,,,,,,,,,,,,,,,,,
,4,2,103,2,2,149,,,,133.367,134.965,135.213,136.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,1490,,,,136.844,136.892,,,,,,,,,,,,,,,
,5,2,139,2,2,211,,,,142.193,142.852,159.676,159.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,177,,,,156.26,157.077,159.892,160.66,,,,,,,,,,,,,
,,,,,,,,,,157.756,159.644,,,,,,,,,,,,,,,
,,,,,,,,,,160.692,160.74,,,,,,,,,,,,,,,
,6,2,162,2,1,1004,,,,165.375,165.597,169.789,170.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,312,,,,,,170.277,170.884,,,,,,,,,,,,,
,7,8,172,2,2,302,,,,190.863,201.827,187.448,190.863,201.827,202.926,202.926,204.759,217.19,217.532,204.759,205.725,NA,NA,216.472,217.173,
,,,,,1,739,,,,206.642,207.074,213.956,215.029,206.325,206.642,205.725,206.008,,,216.171,216.471,,,,,
,,,,,3,734,,,,215.109,215.604,,,215.604,215.708,215.708,216.171,,,,,,,,,
,,,,,4,1012,,,,,,,,,,,,,,,,,,,,
,,,,,6,860,,,,,,,,,,,,,,,,,,,,
,,,,,8,2848,,,,,,,,,,,,,,,,,,,,
,,,,,5,532,,,,,,,,,,,,,,,,,,,,
,,,,,7,195,,,,,,,,,,,,,,,,,,,,
,8,2,218,1,2,4415,,,,228.184,229.443,224.469,228.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,835,,,,229.948,231.188,,,,,,,,,,,,,,,
,9,2,232,2,2,1394,,,,243.862,246.328,235.695,243.862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,708,,,,,,,,,,,,,,,,,,,,
,10,8,247,3,1,1713,,,,251.084,252.788,272.469,272.885,275.507,275.547,270.837,272.068,270.66,270.837,276.979,277.099,272.068,272.469,272.885,273.269,
,,,,,5,179,,,,259.659,270.66,,,276.468,276.851,,,,,,,,,,,
,,,,,4,516,,,,,,,,276.867,276.955,,,,,,,,,,,
,,,,,7,238,,,,,,,,,,,,,,,,,,,,
,,,,,2,421,,,,,,,,,,,,,,,,,,,,
,,,,,8,110,,,,,,,,,,,,,,,,,,,,
,,,,,3,469,,,,,,,,,,,,,,,,,,,,
,,,,,6,184,,,,,,,,,,,,,,,,,,,,
5,1,2,0,2,1,219,538,random,,24.209,33.058,37.704,46.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A301GNFG8W711Q
,,,,,2,203,,,,33.289,35.18,,,,,,,,,,,,,,,
,,,,,,,,,,37.266,37.485,,,,,,,,,,,,,,,
,2,8,48,2,6,1265,,,,125.872,127.399,104.09,110.756,110.813,111.235,96.2,96.504,127.399,128.752,86.623,87.089,124.332,125.832,123.621,124.219,
,,,,,4,204,,,,,,111.312,111.53,119.99,120.005,97.065,104.089,,,87.128,87.135,,,,,
,,,,,2,439,,,,,,112.53,115.047,121.065,123.281,,,,,87.284,87.737,,,,,
,,,,,3,1347,,,,,,115.063,115.422,,,,,,,89.572,90.312,,,,,
,,,,,8,330,,,,,,118.803,119.147,,,,,,,91.147,96.199,,,,,
,,,,,7,1203,,,,,,119.178,119.768,,,,,,,,,,,,,
,,,,,1,753,,,,,,119.817,119.927,,,,,,,,,,,,,
,,,,,5,919,,,,,,120.146,120.977,,,,,,,,,,,,,
,3,2,130,2,1,168,,,,152.442,152.858,153.008,153.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,139,,,,,,158.79,161.979,,,,,,,,,,,,,
,,,,,,,,,,,,162.151,163.21,,,,,,,,,,,,,
,4,2,164,1,2,149,,,,204.199,211.011,202.083,202.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,1490,,,,218.595,226.984,202.739,204.199,,,,,,,,,,,,,
,5,2,228,1,1,177,,,,233.06,233.154,250.441,250.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,211,,,,250.244,250.425,256.956,257.05,,,,,,,,,,,,,
,,,,,,,,,,254.108,256.856,,,,,,,,,,,,,,,
,,,,,,,,,,256.88,256.909,,,,,,,,,,,,,,,
,6,2,258,2,1,1004,,,,262.253,262.985,280.897,284.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,312,,,,276.684,280.319,,,,,,,,,,,,,,,
,7,8,286,2,5,532,,,,353.817,362.798,362.887,365.608,342.931,353.659,326.118,333.781,321.523,326.117,333.782,341.707,367.856,367.947,365.609,367.811,
,,,,,4,1012,,,,,,,,,,,,,,,,,,,,
,,,,,6,860,,,,,,,,,,,,,,,,,,,,
,,,,,3,734,,,,,,,,,,,,,,,,,,,,
,,,,,1,739,,,,,,,,,,,,,,,,,,,,
,,,,,2,302,,,,,,,,,,,,,,,,,,,,
,,,,,8,2848,,,,,,,,,,,,,,,,,,,,
,,,,,7,195,,,,,,,,,,,,,,,,,,,,
,8,2,369,2,2,4415,,,,407.61,411.341,398.015,407.506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,835,,,,416.048,416.22,411.341,412.912,,,,,,,,,,,,,
,,,,,,,,,,416.356,416.443,413.757,415.97,,,,,,,,,,,,,
,9,8,423,7,3,435,,,,NA,NA,482.211,484.747,455.704,467.907,NA,NA,NA,NA,503.219,503.227,488.778,498.898,484.747,488.775,
,,,,,2,1394,,,,,,,,468.153,481.895,,,,,,,499.152,499.779,,,
,,,,,8,1578,,,,,,,,,,,,,,,,,,,,
,,,,,7,381,,,,,,,,,,,,,,,,,,,,
,,,,,1,708,,,,,,,,,,,,,,,,,,,,
,,,,,4,826,,,,,,,,,,,,,,,,,,,,
,,,,,5,2005,,,,,,,,,,,,,,,,,,,,
,,,,,6,1283,,,,,,,,,,,,,,,,,,,,
,10,2,504,1,2,421,,,,522.215,532.797,518.603,522.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,1713,,,,532.961,533.196,,,,,,,,,,,,,,,
,,,,,,,,,,533.556,534.149,,,,,,,,,,,,,,,
,,,,,,,,,,534.166,535.792,,,,,,,,,,,,,,,
6,1,2,0,2,2,203,1063,random,,47.153,47.316,-1.291,47.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A1G4QQQTDANOM9
,,,,,1,219,,,,47.71,48.234,48.283,48.303,,,,,,,,,,,,,
,,,,,,,,,,48.877,48.91,48.587,48.86,,,,,,,,,,,,,
,2,8,55,7,1,753,,,,53.753,69.52,NA,NA,74.511,75.02,NA,NA,73.676,74.001,69.52,73.56,83.078,83.142,NA,NA,
,,,,,2,439,,,,,,,,,,,,75.04,75.112,74.159,74.511,83.43,83.46,,,
,,,,,6,1265,,,,,,,,,,,,,,,,83.675,84.375,,,
,,,,,5,919,,,,,,,,,,,,,,,,,,,,
,,,,,3,1347,,,,,,,,,,,,,,,,,,,,
,,,,,8,330,,,,,,,,,,,,,,,,,,,,
,,,,,4,204,,,,,,,,,,,,,,,,,,,,
,,,,,7,1203,,,,,,,,,,,,,,,,,,,,
,3,8,91,1,1,168,,,,94.333,94.35,94.366,94.874,103.338,103.748,113.226,113.368,112.024,112.068,112.083,113.019,113.05,113.086,111.687,111.898,
,,,,,2,139,,,,95.011,95.061,97.164,103.052,104.372,105.873,,,,,,,,,,,
,,,,,3,280,,,,95.513,95.613,110.679,110.689,,,,,,,,,,,,,
,,,,,8,176,,,,95.953,97.07,111.489,111.687,,,,,,,,,,,,,
,,,,,5,260,,,,110.729,110.761,,,,,,,,,,,,,,,
,,,,,6,482,,,,110.824,110.854,,,,,,,,,,,,,,,
,,,,,7,492,,,,111.007,111.472,,,,,,,,,,,,,,,
,,,,,4,171,,,,,,,,,,,,,,,,,,,,
,4,2,120,1,1,1490,,,,247.761,247.776,250.434,251.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,149,,,,248.154,249.945,252.503,252.74,,,,,,,,,,,,,
,,,,,,,,,,251.294,251.412,,,,,,,,,,,,,,,
,,,,,,,,,,251.848,252.483,,,,,,,,,,,,,,,
,5,8,259,7,3,588,,,,369.395,369.709,257.301,367.183,NA,NA,367.789,367.909,369.709,371.317,NA,NA,367.446,367.671,369.347,369.356,
,,,,,2,211,,,,,,367.388,367.423,,,369.203,369.346,,,,,367.919,367.984,,,
,,,,,7,426,,,,,,367.984,368.024,,,,,,,,,368.315,369.19,,,
,,,,,4,300,,,,,,,,,,,,,,,,,,,,
,,,,,8,199,,,,,,,,,,,,,,,,,,,,
,,,,,1,177,,,,,,,,,,,,,,,,,,,,
,,,,,6,325,,,,,,,,,,,,,,,,,,,,
,,,,,5,4414,,,,,,,,,,,,,,,,,,,,
,6,8,378,1,4,510,,,,547.332,548.018,NA,NA,NA,NA,546.705,546.772,NA,NA,549.235,549.572,548.115,548.871,548.871,549.235,
,,,,,3,152,,,,,,,,,,,,,,,,,,,,
,,,,,1,1004,,,,,,,,,,,,,,,,,,,,
,,,,,2,312,,,,,,,,,,,,,,,,,,,,
,,,,,7,1192,,,,,,,,,,,,,,,,,,,,
,,,,,8,301,,,,,,,,,,,,,,,,,,,,
,,,,,6,985,,,,,,,,,,,,,,,,,,,,
,,,,,5,30,,,,,,,,,,,,,,,,,,,,
,7,2,560,2,2,302,,,,759.173,759.608,759.9,760.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,739,,,,,,760.269,760.609,,,,,,,,,,,,,
,8,2,766,2,2,4415,,,,880.745,881.032,878.39,880.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,835,,,,,,,,,,,,,,,,,,,,
,9,8,887,3,3,435,,,,1000.84,1000.99,NA,NA,886.164,987.27,1001.86,1002.06,NA,NA,NA,NA,NA,NA,1001.31,1001.86,
,,,,,1,708,,,,,,,,1000.02,1000.2,,,,,,,,,,,
,,,,,8,1578,,,,,,,,1000.42,1000.79,,,,,,,,,,,
,,,,,4,826,,,,,,,,,,,,,,,,,,,,
,,,,,2,1394,,,,,,,,,,,,,,,,,,,,
,,,,,6,1283,,,,,,,,,,,,,,,,,,,,
,,,,,5,2005,,,,,,,,,,,,,,,,,,,,
,,,,,7,381,,,,,,,,,,,,,,,,,,,,
,10,2,1011,1,2,421,,,,1051.61,1051.97,1009.17,1050.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,1713,,,,1052.14,1052.79,1050.79,1051.06,,,,,,,,,,,,,
,,,,,,,,,,1054.69,1055.22,1051.36,1051.61,,,,,,,,,,,,,
7,1,2,0,1,1,219,448,random,,2.707,3.319,15.792,16.813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A3EJ44J2ZNRMDA
,,,,,2,203,,,,14.475,15.262,17.113,17.268,,,,,,,,,,,,,
,,,,,,,,,,20.71,23.07,17.326,18.287,,,,,,,,,,,,,
