Experiment #,Question #,Number of Answers,Start Date/Seconds After Start Date,Answer Chosen,Answer Order,Total Experiment Time (Seconds),How Answers/Scores Ordered,Number of Characters in Each Answer,IP Address [Removed],Time Mouse Scrolled Over Answer 1 (Seconds After Start Time),Time Mouse Moved Away From Answer 1 (Seconds After Start Time),Time Mouse Scrolled Over Answer 2 (Seconds After Start Time),Time Mouse Moved Away From Answer 2 (Seconds After Start Time),Time Mouse Scrolled Over Answer 3 (Seconds After Start Time),Time Mouse Moved Away From Answer 3 (Seconds After Start Time),Time Mouse Scrolled Over Answer 4 (Seconds After Start Time),Time Mouse Moved Away From Answer 4 (Seconds After Start Time),Time Mouse Scrolled Over Answer 5 (Seconds After Start Time),Time Mouse Moved Away From Answer 5 (Seconds After Start Time),Time Mouse Scrolled Over Answer 6 (Seconds After Start Time),Time Mouse Moved Away From Answer 6 (Seconds After Start Time),Time Mouse Scrolled Over Answer 7 (Seconds After Start Time),Time Mouse Moved Away From Answer 7 (Seconds After Start Time),Time Mouse Scrolled Over Answer 8 (Seconds After Start Time),Time Mouse Moved Away From Answer 8 (Seconds After Start Time),Amazon Worker ID,Score
,,,,,8,,,131,,,,,,,,,,,,,,,,,,,3
,,,,,6,,,3146,,,,,,,,,,,,,,,,,,,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,8,184,6,5,,Random Score,4414,,,,,,209.789,209.792,,,195.115,203.11,203.494,207.378,203.11,203.494,,,,19
,,,,,7,,,426,,,,,,,,,,,,207.448,207.48,,,,,,12
,,,,,6,,,325,,,,,,,,,,,,207.552,208.208,,,,,,4
,,,,,1,,,177,,,,,,,,,,,,,,,,,,,15
,,,,,4,,,300,,,,,,,,,,,,,,,,,,,25
,,,,,8,,,199,,,,,,,,,,,,,,,,,,,10
,,,,,2,,,211,,,,,,,,,,,,,,,,,,,18
,,,,,3,,,588,,,,,,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,2,211,1,1,,Random Score,1004,,213.813,214.176,225.441,225.472,,,,,,,,,,,,,,54
,,,,,2,,,312,,221.662,224.458,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,8,227,2,8,,Random Score,2848,,246.512,247.002,240.392,245.926,247.722,248.642,248.877,249.459,249.459,249.952,247.002,247.722,248.642,248.877,236.192,240.392,,12
,,,,,2,,,302,,,,245.936,246.025,,,,,,,,,,,,,,7
,,,,,1,,,739,,,,,,,,,,,,,,,,,,,6
,,,,,6,,,860,,,,,,,,,,,,,,,,,,,15
,,,,,3,,,734,,,,,,,,,,,,,,,,,,,19
,,,,,7,,,195,,,,,,,,,,,,,,,,,,,3
,,,,,4,,,1012,,,,,,,,,,,,,,,,,,,19
,,,,,5,,,532,,,,,,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,8,251,6,4,,Random Score,1531,,259.896,266.192,277.207,280.944,,,257.725,259.659,,,267.207,271.507,276.687,276.929,276.246,276.687,,20
,,,,,3,,,105,,,,,,,,,,,,272.397,274.137,,,,,,12
,,,,,1,,,835,,,,,,,,,,,,274.872,274.888,,,,,,0
,,,,,6,,,333,,,,,,,,,,,,275.28,275.822,,,,,,12
,,,,,8,,,1027,,,,,,,,,,,,275.858,276.209,,,,,,25
,,,,,7,,,108,,,,,,,,,,,,,,,,,,,7
,,,,,5,,,542,,,,,,,,,,,,,,,,,,,11
,,,,,2,,,4415,,,,,,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,2,282,2,1,,Random Score,708,,288.442,293.023,293.023,302.344,,,,,,,,,,,,,,29
,,,,,2,,,1394,,,,,,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,2,303,1,2,,Random Score,421,,310.239,319.289,306.693,310.239,,,,,,,,,,,,,,35
,,,,,1,,,1713,,330.705,333.841,319.789,330.073,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,2,0,1,1,519,Random Score,219,,26.614,26.87,46.986,48.889,,,,,,,,,,,,,AHDBHMH3AY1V2,80
,,,,,2,,,203,,27.166,28.818,,,,,,,,,,,,,,,,49
,,,,,,,,,,45.19,45.434,,,,,,,,,,,,,,,,
,,,,,,,,,,45.702,46.468,,,,,,,,,,,,,,,,
,,,,,,,,,,46.557,46.626,,,,,,,,,,,,,,,,
,2,2,52,2,1,,Random Score,753,,,,99.503,99.691,,,,,,,,,,,,,,80
,,,,,2,,,439,,,,100.815,104.238,,,,,,,,,,,,,,75
,,,,,,,,,,,,104.257,104.733,,,,,,,,,,,,,,
,3,2,109,2,2,,Random Score,139,,118.793,119.39,118.414,118.513,,,,,,,,,,,,,,98
,,,,,1,,,168,,121.87,122.349,122.622,124.653,,,,,,,,,,,,,,97
,,,,,,,,,,125.208,125.57,124.697,125.069,,,,,,,,,,,,,,
,,,,,,,,,,129.107,129.217,125.118,125.133,,,,,,,,,,,,,,
,,,,,,,,,,129.262,129.345,126.856,128.754,,,,,,,,,,,,,,
,4,8,133,2,5,,Random Score,1528,,217.362,217.441,216.744,217.236,,,,,,,,,,,,,,15
,,,,,8,,,131,,224.093,224.157,221.772,223.98,,,,,,,,,,,,,,21
,,,,,1,,,1490,,,,,,,,,,,,,,,,,,,8
,,,,,2,,,149,,,,,,,,,,,,,,,,,,,13
,,,,,4,,,262,,,,,,,,,,,,,,,,,,,2
,,,,,6,,,3146,,,,,,,,,,,,,,,,,,,9
,,,,,3,,,466,,,,,,,,,,,,,,,,,,,16
,,,,,7,,,2010,,,,,,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,8,233,3,2,,Random Score,211,,315.349,315.506,,,326.335,326.657,,,,,,,,,,,,13
,,,,,8,,,199,,317.656,318.471,,,327.052,327.845,,,,,,,,,,,,24
,,,,,7,,,426,,,,,,,,,,,,,,,,,,,3
,,,,,4,,,300,,,,,,,,,,,,,,,,,,,2
,,,,,1,,,177,,,,,,,,,,,,,,,,,,,18
,,,,,5,,,4414,,,,,,,,,,,,,,,,,,,3
,,,,,3,,,588,,,,,,,,,,,,,,,,,,,15
,,,,,6,,,325,,,,,,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,2,333,1,2,,Random Score,312,,354.505,356.043,,,,,,,,,,,,,,,,0
,,,,,1,,,1004,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,2,365,1,1,,Random Score,739,,401.334,402.39,,,,,,,,,,,,,,,,97
,,,,,2,,,302,,,,,,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,2,409,1,1,,Random Score,835,,436.899,436.986,,,,,,,,,,,,,,,,93
,,,,,2,,,4415,,437.203,437.698,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,2,448,1,2,,Random Score,1394,,472.57,473.558,,,,,,,,,,,,,,,,49
,,,,,1,,,708,,473.574,474.15,,,,,,,,,,,,,,,,75
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,2,479,1,2,,Random Score,421,,505.978,506.442,505.725,505.818,,,,,,,,,,,,,,86
,,,,,1,,,1713,,,,506.591,506.721,,,,,,,,,,,,,,84
,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,2,0,2,2,388,Random Score,203,,4.11,4.127,1.47,2.551,,,,,,,,,,,,,A1GIH4IOKEK12L,49
,,,,,1,,,219,,,,2.627,3.844,,,,,,,,,,,,,,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,8,6,8,8,,Random Score,330,,,,,,13.14,13.159,,,13.843,14.831,,,,,9.66,10.392,,12
,,,,,7,,,1203,,,,,,13.381,13.843,,,,,,,,,,,,1
,,,,,1,,,753,,,,,,,,,,,,,,,,,,,5
,,,,,2,,,439,,,,,,,,,,,,,,,,,,,20
,,,,,6,,,1265,,,,,,,,,,,,,,,,,,,1
,,,,,3,,,1347,,,,,,,,,,,,,,,,,,,14
,,,,,5,,,919,,,,,,,,,,,,,,,,,,,0
,,,,,4,,,204,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,8,71,6,6,,Random Score,482,,,,75.462,75.574,99.923,100.186,99.616,99.65,99.674,99.897,73.21,73.575,99.411,99.601,98.905,99.411,,0
,,,,,2,,,139,,,,78.19,90.277,,,,,,,74.129,75.276,,,,,,0
,,,,,8,,,176,,,,96.722,97.005,,,,,,,97.055,97.622,,,,,,8
,,,,,1,,,168,,,,98.743,98.814,,,,,,,97.705,98.58,,,,,,15
,,,,,7,,,492,,,,,,,,,,,,98.63,98.69,,,,,,13
,,,,,4,,,171,,,,,,,,,,,,,,,,,,,19
,,,,,5,,,260,,,,,,,,,,,,,,,,,,,24
,,,,,3,,,280,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,2,102,1,2,,Random Score,149,,138.487,164.77,118.055,118.074,,,,,,,,,,,,,,41
,,,,,1,,,1490,,196.487,196.641,119.394,119.438,,,,,,,,,,,,,,3
,,,,,,,,,,196.919,197.969,,,,,,,,,,,,,,,,
,,,,,,,,,,201.505,219.504,,,,,,,,,,,,,,,,
,,,,,,,,,,220.806,220.91,,,,,,,,,,,,,,,,
,,,,,,,,,,221.8,224.067,,,,,,,,,,,,,,,,
,,,,,,,,,,224.867,229.642,,,,,,,,,,,,,,,,
,,,,,,,,,,241.133,241.133,,,,,,,,,,,,,,,,
,,,,,,,,,,241.15,241.65,,,,,,,,,,,,,,,,
,,,,,,,,,,241.883,243.75,,,,,,,,,,,,,,,,
,,,,,,,,,,262.288,262.833,,,,,,,,,,,,,,,,
,,,,,,,,,,268.115,268.199,,,,,,,,,,,,,,,,
,,,,,,,,,,269.332,269.415,,,,,,,,,,,,,,,,
,,,,,,,,,,270.499,271.905,,,,,,,,,,,,,,,,
,,,,,,,,,,272.585,273.81,,,,,,,,,,,,,,,,
,5,2,276,2,2,,Random Score,211,,277.009,277.105,277.298,278.183,,,,,,,,,,,,,,55
,,,,,1,,,177,,278.267,278.698,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,2,280,2,2,,Random Score,312,,281.89,281.916,281.966,282.016,,,,,,,,,,,,,,43
,,,,,1,,,1004,,283.967,284.649,282.299,283.967,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,2,287,1,1,,Random Score,739,,289.832,290.467,291.317,291.931,,,,,,,,,,,,,,27
,,,,,2,,,302,,291.015,291.281,,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,2,294,1,1,,Random Score,835,,308.713,309.18,322.987,323.486,,,,,,,,,,,,,,75
,,,,,2,,,4415,,311.364,311.547,326.05,330.714,,,,,,,,,,,,,,94
,,,,,,,,,,314.998,315.094,330.932,333.597,,,,,,,,,,,,,,
,,,,,,,,,,319.998,320.131,,,,,,,,,,,,,,,,
,,,,,,,,,,320.231,322.007,,,,,,,,,,,,,,,,
,,,,,,,,,,322.21,322.346,,,,,,,,,,,,,,,,
,,,,,,,,,,322.446,322.896,,,,,,,,,,,,,,,,
,,,,,,,,,,323.486,323.713,,,,,,,,,,,,,,,,
,,,,,,,,,,325.618,325.73,,,,,,,,,,,,,,,,
,9,8,335,6,6,,Random Score,1283,,,,342.946,343.512,,,342.181,342.347,341.596,342.181,337.049,338.762,,,340.187,341.186,,10
,,,,,3,,,435,,,,,,,,342.496,342.946,,,,,,,,,,6
,,,,,7,,,381,,,,,,,,,,,,,,,,,,,3
,,,,,1,,,708,,,,,,,,,,,,,,,,,,,16
,,,,,8,,,1578,,,,,,,,,,,,,,,,,,,5
,,,,,5,,,2005,,,,,,,,,,,,,,,,,,,4
,,,,,4,,,826,,,,,,,,,,,,,,,,,,,15
,,,,,2,,,1394,,,,,,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,8,345,1,1,,Random Score,1713,,371.323,371.864,384.57,385.18,383.829,383.848,,,384.148,384.57,383.583,383.828,,,383.531,383.551,,4
,,,,,8,,,110,,377.579,377.714,,,,,,,,,,,,,,,,25
,,,,,6,,,184,,381.512,382.528,,,,,,,,,,,,,,,,17
,,,,,3,,,469,,382.75,383.512,,,,,,,,,,,,,,,,0
,,,,,4,,,516,,,,,,,,,,,,,,,,,,,16
,,,,,5,,,179,,,,,,,,,,,,,,,,,,,8
,,,,,7,,,238,,,,,,,,,,,,,,,,,,,3
,,,,,2,,,421,,,,,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,8,0,5,6,436,Random Score,298,,18.532,23.263,47.46,47.575,23.263,26.397,35.977,37.56,30.579,30.927,,,26.397,29.196,16.315,16.698,A110KENBXU7SUJ,21
,,,,,8,,,403,,37.56,37.636,,,,,40.259,41.326,32.911,33.612,,,,,17.481,18.532,,11
,,,,,1,,,219,,39.226,39.627,,,,,42.259,47.459,34.574,35.443,,,,,,,,13
,,,,,3,,,205,,,,,,,,,,39.627,40.259,,,,,,,,15
,,,,,7,,,229,,,,,,,,,,,,,,,,,,,18
,,,,,5,,,451,,,,,,,,,,,,,,,,,,,22
,,,,,4,,,1225,,,,,,,,,,,,,,,,,,,16
,,,,,2,,,203,,,,,,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,8,47,4,8,,Random Score,330,,80.901,84.267,92.966,93.517,72.02,80.351,84.934,85.866,64.137,71.47,86.753,87.601,86.301,86.753,62.471,62.773,,18
,,,,,5,,,919,,86,86.3,,,,,,,,,88.45,92.966,,,,,,2
,,,,,3,,,1347,,,,,,,,,,,,,,,,,,,4
,,,,,4,,,204,,,,,,,,,,,,,,,,,,,25
,,,,,1,,,753,,,,,,,,,,,,,,,,,,,8
,,,,,7,,,1203,,,,,,,,,,,,,,,,,,,11
,,,,,6,,,1265,,,,,,,,,,,,,,,,,,,1
,,,,,2,,,439,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,8,92,7,1,,Random Score,168,,,,133.26,137.756,130.291,131.024,142.588,142.972,131.658,133.26,122.662,125.726,125.726,129.96,131.024,131.658,,18
,,,,,6,,,482,,,,,,137.756,138.957,,,142.29,142.588,,,139.44,140.522,,,,23
,,,,,7,,,492,,,,,,,,,,,,,,140.707,142.29,,,,23
,,,,,3,,,280,,,,,,,,,,,,,,,,,,,4
,,,,,8,,,176,,,,,,,,,,,,,,,,,,,20
,,,,,5,,,260,,,,,,,,,,,,,,,,,,,8
,,,,,2,,,139,,,,,,,,,,,,,,,,,,,4
,,,,,4,,,171,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,2,142,1,1,,Random Score,1490,,156.419,164.319,164.319,167.55,,,,,,,,,,,,,,24
,,,,,2,,,149,,167.55,167.817,168.851,168.967,,,,,,,,,,,,,,54
,,,,,,,,,,168.134,168.851,,,,,,,,,,,,,,,,
,5,2,168,2,2,,Random Score,211,,193.079,195.662,195.962,196.728,,,,,,,,,,,,,,100
,,,,,1,,,177,,196.962,197.095,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,8,197,2,6,,Random Score,985,,,,254.814,254.934,,,,,,,208.435,210.492,258.169,258.584,,,,7
,,,,,8,,,301,,,,256.886,258.1,,,,,,,236.02,236.071,,,,,,14
,,,,,1,,,1004,,,,,,,,,,,,236.236,254.814,,,,,,4
,,,,,4,,,510,,,,,,,,,,,,,,,,,,,23
,,,,,3,,,152,,,,,,,,,,,,,,,,,,,4
,,,,,5,,,30,,,,,,,,,,,,,,,,,,,22
,,,,,2,,,312,,,,,,,,,,,,,,,,,,,6
,,,,,7,,,1192,,,,,,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,2,258,2,2,,Random Score,302,,276.987,277.046,277.679,278.746,,,,,,,,,,,,,,61
,,,,,1,,,739,,278.746,280.578,,,,,,,,,,,,,,,,74
,,,,,,,,,,296.76,300.391,,,,,,,,,,,,,,,,
,8,8,300,2,7,,Random Score,108,,326.119,328.119,344.832,346.833,,,,,,,,,,,,,,7
,,,,,8,,,1027,,335.434,335.618,,,,,,,,,,,,,,,,18
,,,,,4,,,1531,,,,,,,,,,,,,,,,,,,22
,,,,,3,,,105,,,,,,,,,,,,,,,,,,,7
,,,,,6,,,333,,,,,,,,,,,,,,,,,,,5
,,,,,5,,,542,,,,,,,,,,,,,,,,,,,13
,,,,,1,,,835,,,,,,,,,,,,,,,,,,,25
,,,,,2,,,4415,,,,,,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,8,346,3,6,,Random Score,1283,,374.996,382.142,,,395.956,396.421,367.363,374.111,386.859,394.141,358.964,361.862,363.764,365.728,384.66,386.859,,1
,,,,,7,,,381,,382.792,383.826,,,397.722,398.323,384.308,384.425,394.422,394.538,,,,,,,,1
,,,,,4,,,826,,384.425,384.641,,,398.339,399.151,,,394.939,395.605,,,,,,,,7
,,,,,1,,,708,,,,,,399.522,399.538,,,,,,,,,,,,4
,,,,,8,,,1578,,,,,,399.605,399.755,,,,,,,,,,,,17
,,,,,5,,,2005,,,,,,,,,,,,,,,,,,,20
,,,,,2,,,1394,,,,,,,,,,,,,,,,,,,8
,,,,,3,,,435,,,,,,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,2,399,1,2,,Random Score,421,,433.864,435.149,408.437,410.687,,,,,,,,,,,,,,48
,,,,,1,,,1713,,,,416.957,422.033,,,,,,,,,,,,,,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,2,0,2,1,446,Random Score,219,,,,38.431,38.564,,,,,,,,,,,,,A1689SP9SJBJDA,98
,,,,,2,,,203,,,,39.115,40.219,,,,,,,,,,,,,,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,8,41,1,1,,Random Score,753,,55.265,55.481,,,108.302,109.37,,,123.205,124.654,110.986,115.506,109.371,110.985,,,,25
,,,,,3,,,1347,,106.03,106.131,,,,,,,,,116.532,123.205,,,,,,7
,,,,,7,,,1203,,106.28,108.301,,,,,,,,,,,,,,,,17
,,,,,6,,,1265,,,,,,,,,,,,,,,,,,,3
,,,,,4,,,204,,,,,,,,,,,,,,,,,,,20
