Experiment #,Question #,Number of Answers,Start Date/Seconds After Start Date,Answer Chosen,Answer Order,Number of Characters in Each Answer,Total Experiment Time (Seconds),How Answers Ordered,IP Address [Removed],Time Mouse Scrolled Over Answer 1 (Seconds After Start Time),Time Mouse Moved Away From Answer 1 (Seconds After Start Time),Time Mouse Scrolled Over Answer 2 (Seconds After Start Time),Time Mouse Moved Away From Answer 2 (Seconds After Start Time),Time Mouse Scrolled Over Answer 3 (Seconds After Start Time),Time Mouse Moved Away From Answer 3 (Seconds After Start Time),Time Mouse Scrolled Over Answer 4 (Seconds After Start Time),Time Mouse Moved Away From Answer 4 (Seconds After Start Time),Time Mouse Scrolled Over Answer 5 (Seconds After Start Time),Time Mouse Moved Away From Answer 5 (Seconds After Start Time),Time Mouse Scrolled Over Answer 6 (Seconds After Start Time),Time Mouse Moved Away From Answer 6 (Seconds After Start Time),Time Mouse Scrolled Over Answer 7 (Seconds After Start Time),Time Mouse Moved Away From Answer 7 (Seconds After Start Time),Time Mouse Scrolled Over Answer 8 (Seconds After Start Time),Time Mouse Moved Away From Answer 8 (Seconds After Start Time),Amazon Worker ID,Score
,10,2,1086,1,2,421,,,,1130.82,1139.1,1130.39,1130.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,46
,,,,,1,1713,,,,1139.48,1147.74,,,,,,,,,,,,,,,,32
,,,,,,,,,,1147.75,1150.05,,,,,,,,,,,,,,,,0
2,1,8,0,2,1,219,381,random,,NA,NA,39.919,40.568,39.849,39.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A17KJJEFSH5S25,21
,,,,,8,403,,,,,,40.784,41.962,41.987,42.026,,,,,,,,,,,,21
,,,,,6,298,,,,,,,,,,,,,,,,,,,,,14
,,,,,4,1225,,,,,,,,,,,,,,,,,,,,,12
,,,,,7,229,,,,,,,,,,,,,,,,,,,,,12
,,,,,5,451,,,,,,,,,,,,,,,,,,,,,10
,,,,,2,203,,,,,,,,,,,,,,,,,,,,,4
,,,,,3,205,,,,,,,,,,,,,,,,,,,,,4
,2,8,44,4,3,1347,,,,NA,NA,83.551,83.94,NA,NA,84.398,85.22,NA,NA,NA,NA,NA,NA,NA,NA,,25
,,,,,6,1265,,,,,,85.511,85.613,,,85.447,85.496,,,,,,,,,,24
,,,,,5,919,,,,,,,,,,,,,,,,,,,,,21
,,,,,8,330,,,,,,,,,,,,,,,,,,,,,21
,,,,,7,1203,,,,,,,,,,,,,,,,,,,,,9
,,,,,1,753,,,,,,,,,,,,,,,,,,,,,7
,,,,,4,204,,,,,,,,,,,,,,,,,,,,,2
,,,,,2,439,,,,,,,,,,,,,,,,,,,,,0
,3,2,87,2,1,168,,,,98.305,98.341,103.582,104.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,99
,,,,,2,139,,,,99.615,103.004,104.525,104.55,,,,,,,,,,,,,,50
,4,8,106,4,3,466,,,,NA,NA,NA,NA,NA,NA,145.592,146.064,NA,NA,153.417,153.608,NA,NA,NA,NA,,25
,,,,,4,262,,,,,,,,,,146.912,147.788,,,,,,,,,,12
,,,,,8,131,,,,,,,,,,,,,,,,,,,,,10
,,,,,5,1528,,,,,,,,,,,,,,,,,,,,,8
,,,,,7,2010,,,,,,,,,,,,,,,,,,,,,6
,,,,,2,149,,,,,,,,,,,,,,,,,,,,,6
,,,,,1,1490,,,,,,,,,,,,,,,,,,,,,4
,,,,,6,3146,,,,,,,,,,,,,,,,,,,,,0
,5,8,155,2,6,325,,,,NA,NA,187.125,187.217,185.007,185.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,22
,,,,,4,300,,,,,,188.149,188.902,188.94,189.418,,,,,,,,,,,,19
,,,,,8,199,,,,,,,,,,,,,,,,,,,,,18
,,,,,1,177,,,,,,,,,,,,,,,,,,,,,18
,,,,,7,426,,,,,,,,,,,,,,,,,,,,,17
,,,,,5,4414,,,,,,,,,,,,,,,,,,,,,16
,,,,,2,211,,,,,,,,,,,,,,,,,,,,,13
,,,,,3,588,,,,,,,,,,,,,,,,,,,,,12
,6,8,191,8,6,985,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.136,194.959,NA,NA,244.677,244.689,,23
,,,,,8,301,,,,,,,,,,,,,,245.633,245.992,,,244.854,244.893,,17
,,,,,7,1192,,,,,,,,,,,,,,247.29,247.305,,,246.776,247.243,,15
,,,,,2,312,,,,,,,,,,,,,,,,,,,,,14
,,,,,5,30,,,,,,,,,,,,,,,,,,,,,12
,,,,,1,1004,,,,,,,,,,,,,,,,,,,,,9
,,,,,4,510,,,,,,,,,,,,,,,,,,,,,9
,,,,,3,152,,,,,,,,,,,,,,,,,,,,,2
,7,8,252,3,4,1012,,,,NA,NA,NA,NA,270.64,278.287,265.107,270.64,NA,NA,NA,NA,NA,NA,NA,NA,,21
,,,,,3,734,,,,,,,,,,,,,,,,,,,,,14
,,,,,2,302,,,,,,,,,,,,,,,,,,,,,8
,,,,,5,532,,,,,,,,,,,,,,,,,,,,,5
,,,,,7,195,,,,,,,,,,,,,,,,,,,,,5
,,,,,1,739,,,,,,,,,,,,,,,,,,,,,3
,,,,,6,860,,,,,,,,,,,,,,,,,,,,,2
,,,,,8,2848,,,,,,,,,,,,,,,,,,,,,0
,8,8,287,2,5,542,,,,298.822,305.505,305.505,310.025,NA,NA,NA,NA,295.289,298.822,NA,NA,NA,NA,NA,NA,,20
,,,,,1,835,,,,,,,,,,,,,,,,,,,,,16
,,,,,6,333,,,,,,,,,,,,,,,,,,,,,15
,,,,,2,4415,,,,,,,,,,,,,,,,,,,,,13
,,,,,3,105,,,,,,,,,,,,,,,,,,,,,10
,,,,,4,1531,,,,,,,,,,,,,,,,,,,,,3
,,,,,8,1027,,,,,,,,,,,,,,,,,,,,,2
,,,,,7,108,,,,,,,,,,,,,,,,,,,,,0
,9,2,318,2,1,708,,,,328.504,329.937,329.937,335.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,73
,,,,,2,1394,,,,,,335.531,336.622,,,,,,,,,,,,,,50
,10,8,339,8,6,184,,,,365.536,369.585,356.669,359.02,361.669,365.536,369.586,370.518,NA,NA,347.353,348.337,350.221,350.621,349.42,350.22,,23
,,,,,7,238,,,,,,,,,,,,,,,,352.936,355.153,376.179,376.82,,22
,,,,,8,110,,,,,,,,,,,,,,,,375.478,375.898,,,,17
,,,,,2,421,,,,,,,,,,,,,,,,376.869,376.882,,,,9
,,,,,5,179,,,,,,,,,,,,,,,,,,,,,7
,,,,,3,469,,,,,,,,,,,,,,,,,,,,,4
,,,,,1,1713,,,,,,,,,,,,,,,,,,,,,3
,,,,,4,516,,,,,,,,,,,,,,,,,,,,,0
3,1,2,0,1,2,203,752,random,,21.728,27.296,4.177,5.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A1FYFBIFYWTMJS,67
,,,,,1,219,,,,,,18.695,18.983,,,,,,,,,,,,,,27
,,,,,,,,,,,,19.495,21.687,,,,,,,,,,,,,,0
,2,2,43,2,1,753,,,,NA,NA,116.503,117.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,23
,,,,,2,439,,,,,,118.198,119.702,,,,,,,,,,,,,,9
,,,,,,,,,,,,119.727,119.847,,,,,,,,,,,,,,0
,3,2,121,1,2,139,,,,159.826,169.206,151.962,159.174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,89
,,,,,1,168,,,,,,,,,,,,,,,,,,,,,69
,4,2,171,1,2,149,,,,234.839,235.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,93
,,,,,1,1490,,,,236.83,238.3,,,,,,,,,,,,,,,,30
,5,2,239,1,1,177,,,,292.884,292.958,293.996,294.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,68
,,,,,2,211,,,,293.517,293.764,,,,,,,,,,,,,,,,54
,,,,,,,,,,293.927,293.974,,,,,,,,,,,,,,,,0
,6,8,295,6,1,1004,,,,309.653,334.261,308.414,308.462,308.289,308.398,NA,NA,NA,NA,307.373,307.897,304.693,305.365,303.765,304.214,,22
,,,,,8,301,,,,370.389,370.628,,,422.992,425.767,,,,,307.996,308.289,308.462,309.326,309.326,309.653,,22
,,,,,7,1192,,,,381.228,381.348,,,,,,,,,417.204,422.139,427.976,429.746,382.332,382.356,,21
,,,,,5,30,,,,382.484,383.648,,,,,,,,,462.836,467.22,447.537,450.764,447.116,447.537,,21
,,,,,2,312,,,,384.4,385.444,,,,,,,,,,,451.166,453.573,450.764,451.166,,7
,,,,,3,152,,,,438.556,439.259,,,,,,,,,,,,,,,,5
,,,,,4,510,,,,440.246,443.18,,,,,,,,,,,,,,,,4
,,,,,6,985,,,,444.946,447.116,,,,,,,,,,,,,,,,1
,7,2,469,1,1,739,,,,496.268,496.478,551.291,551.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,55
,,,,,2,302,,,,496.796,497.015,,,,,,,,,,,,,,,,20
,,,,,,,,,,539.379,540.075,,,,,,,,,,,,,,,,0
,,,,,,,,,,540.687,550.301,,,,,,,,,,,,,,,,0
,8,2,553,2,1,835,,,,606.412,613.423,614.425,629.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,34
,,,,,2,4415,,,,629.593,629.624,630.275,633.933,,,,,,,,,,,,,,22
,,,,,,,,,,,,634.034,634.208,,,,,,,,,,,,,,0
,9,2,639,1,1,708,,,,652.783,662.826,662.826,676.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,73
,,,,,2,1394,,,,676.626,684.226,687.321,687.69,,,,,,,,,,,,,,5
,,,,,,,,,,686.675,686.831,,,,,,,,,,,,,,,,0
,,,,,,,,,,686.939,687.321,,,,,,,,,,,,,,,,0
,10,8,689,2,2,421,,,,747.523,748.39,746.266,747.443,748.636,748.882,748.39,748.53,747.49,747.507,747.457,747.474,748.906,749.298,NA,NA,,15
,,,,,6,184,,,,,,,,,,,,,,,,,,,,,13
,,,,,5,179,,,,,,,,,,,,,,,,,,,,,11
,,,,,1,1713,,,,,,,,,,,,,,,,,,,,,10
,,,,,4,516,,,,,,,,,,,,,,,,,,,,,10
,,,,,8,110,,,,,,,,,,,,,,,,,,,,,9
,,,,,3,469,,,,,,,,,,,,,,,,,,,,,2
,,,,,7,238,,,,,,,,,,,,,,,,,,,,,1
4,1,8,0,2,8,403,1240,random,,323.993,324.065,321.138,323.91,324.305,324.432,116.376,117.349,NA,NA,NA,NA,NA,NA,114.3,115.847,A1A6DUWWGNEE4W,25
,,,,,4,1225,,,,,,,,,,,,,,,,,,,,,25
,,,,,5,451,,,,,,,,,,,,,,,,,,,,,16
,,,,,7,229,,,,,,,,,,,,,,,,,,,,,15
,,,,,6,298,,,,,,,,,,,,,,,,,,,,,8
,,,,,2,203,,,,,,,,,,,,,,,,,,,,,8
,,,,,1,219,,,,,,,,,,,,,,,,,,,,,5
,,,,,3,205,,,,,,,,,,,,,,,,,,,,,5
,2,8,233,7,7,1203,,,,505.399,507.699,538.798,540.114,452.818,501.366,440.951,443.451,502.249,504.216,507.699,510.465,381.859,391.173,510.715,511.415,,23
,,,,,4,204,,,,513.032,538.798,,,544.564,549.53,,,540.897,544.564,,,394.643,435.936,540.114,540.897,,16
,,,,,3,1347,,,,,,,,552.48,555.847,,,,,,,555.847,558.097,,,,4
,,,,,5,919,,,,,,,,,,,,,,,,560.572,561.248,,,,4
,,,,,8,330,,,,,,,,,,,,,,,,561.718,561.827,,,,2
,,,,,1,753,,,,,,,,,,,,,,,,562.196,563.306,,,,2
,,,,,2,439,,,,,,,,,,,,,,,,,,,,,2
,,,,,6,1265,,,,,,,,,,,,,,,,,,,,,1
,3,2,473,2,1,168,,,,585.529,591.865,604.658,604.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,88
,,,,,2,139,,,,605.495,607.685,604.855,604.964,,,,,,,,,,,,,,50
,,,,,,,,,,631.243,633.001,608.434,609.32,,,,,,,,,,,,,,0
,,,,,,,,,,,,625.321,625.382,,,,,,,,,,,,,,0
,,,,,,,,,,,,630.994,631.134,,,,,,,,,,,,,,0
,,,,,,,,,,,,633.063,633.079,,,,,,,,,,,,,,0
,4,2,541,2,2,149,,,,687.541,690.057,712.406,719.891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,92
,,,,,1,1490,,,,720.32,721.441,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,5,2,630,2,2,211,,,,739.105,740.853,728.891,729.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,34
,,,,,1,177,,,,782.778,782.873,738.575,739.105,,,,,,,,,,,,,,23
,,,,,,,,,,,,777.121,782.518,,,,,,,,,,,,,,0
,,,,,,,,,,,,782.552,782.606,,,,,,,,,,,,,,0
,6,2,691,2,2,312,,,,813.181,815.053,790.018,812.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,98
,,,,,1,1004,,,,817.853,833.237,812.521,812.93,,,,,,,,,,,,,,26
,,,,,,,,,,838.811,839.36,815.532,817.625,,,,,,,,,,,,,,0
,,,,,,,,,,,,833.361,834.321,,,,,,,,,,,,,,0
,,,,,,,,,,,,838.529,838.625,,,,,,,,,,,,,,0
,7,2,747,2,2,302,,,,885.649,886.537,878.05,885.649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,43
,,,,,1,739,,,,886.609,888.451,1015.01,1015.91,,,,,,,,,,,,,,25
,,,,,,,,,,896.77,898.782,,,,,,,,,,,,,,,,0
,,,,,,,,,,905.315,908.048,,,,,,,,,,,,,,,,0
,,,,,,,,,,930.472,930.522,,,,,,,,,,,,,,,,0
,,,,,,,,,,1011.16,1014.95,,,,,,,,,,,,,,,,0
,,,,,,,,,,1016.28,1016.66,,,,,,,,,,,,,,,,0
,8,2,924,1,1,835,,,,1042.39,1085.73,1094.19,1100.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,100
,,,,,2,4415,,,,1091.8,1092.16,1101.34,1101.67,,,,,,,,,,,,,,48
,,,,,,,,,,1092.38,1093.67,,,,,,,,,,,,,,,,0
,9,8,1014,5,5,2005,,,,1182.76,1182.83,1140.54,1165.01,1168.63,1169.39,NA,NA,1128.35,1135.7,NA,NA,1169.39,1179.41,1183.48,1183.6,,24
,,,,,2,1394,,,,,,,,,,,,1136.79,1140.3,,,1179.95,1181.51,,,,21
,,,,,3,435,,,,,,,,,,,,1191.51,1217.11,,,,,,,,20
,,,,,7,381,,,,,,,,,,,,1217.71,1222.6,,,,,,,,8
,,,,,1,708,,,,,,,,,,,,1222.88,1240.88,,,,,,,,8
,,,,,8,1578,,,,,,,,,,,,1240.98,1241.65,,,,,,,,7
,,,,,6,1283,,,,,,,,,,,,,,,,,,,,,5
,,,,,4,826,,,,,,,,,,,,,,,,,,,,,4
,10,2,1151,2,2,421,,,,1318.82,1320.42,1305.1,1313.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,54
,,,,,1,1713,,,,1324.03,1325.45,1313.9,1318.41,,,,,,,,,,,,,,15
,,,,,,,,,,,,1320.68,1323.72,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,1,8,0,2,7,229,718,random,,130.99,131.569,136.289,136.703,NA,NA,78.414,78.461,NA,NA,123.961,124.64,NA,NA,NA,NA,ATIUQQLY0LCNA,16
,,,,,8,403,,,,135.264,136.289,142.04,143.193,,,82.136,86.197,,,125.942,130.99,,,,,,8
,,,,,3,205,,,,,,,,,,121.888,122.625,,,,,,,,,,6
,,,,,5,451,,,,,,,,,,123.374,123.961,,,,,,,,,,3
,,,,,4,1225,,,,,,,,,,,,,,,,,,,,,2
,,,,,6,298,,,,,,,,,,,,,,,,,,,,,2
,,,,,1,219,,,,,,,,,,,,,,,,,,,,,1
,,,,,2,203,,,,,,,,,,,,,,,,,,,,,0
,2,8,150,4,6,1265,,,,225.052,226.325,NA,NA,202.503,211.286,215.387,219.079,211.836,214.936,177.121,186.921,187.637,190.071,214.936,215.386,,19
,,,,,7,1203,,,,,,,,,,223.079,224.345,,,,,,,,,,15
,,,,,2,439,,,,,,,,,,,,,,,,,,,,,15
,,,,,3,1347,,,,,,,,,,,,,,,,,,,,,13
,,,,,5,919,,,,,,,,,,,,,,,,,,,,,10
,,,,,8,330,,,,,,,,,,,,,,,,,,,,,9
,,,,,4,204,,,,,,,,,,,,,,,,,,,,,8
,,,,,1,753,,,,,,,,,,,,,,,,,,,,,2
,3,8,233,7,8,176,,,,NA,NA,NA,NA,NA,NA,298.233,298.265,266.134,272.901,248.219,262.523,276.45,279.437,238.162,239.425,,23
,,,,,6,482,,,,,,,,,,,,274.754,276.45,263.702,266.134,284.733,296.604,246.768,248.218,,21
,,,,,1,168,,,,,,,,,,,,,,,,296.668,297.086,,,,21
,,,,,5,260,,,,,,,,,,,,,,,,,,,,,13
,,,,,2,139,,,,,,,,,,,,,,,,,,,,,11
,,,,,7,492,,,,,,,,,,,,,,,,,,,,,8
,,,,,3,280,,,,,,,,,,,,,,,,,,,,,3
,,,,,4,171,,,,,,,,,,,,,,,,,,,,,1
,4,8,302,8,1,1490,,,,335.315,345.198,NA,NA,NA,NA,370.913,373.78,364.814,366.398,345.199,346.696,373.781,378.013,350.067,350.111,,25
,,,,,8,131,,,,,,,,,,,,,,351.104,355.447,,,350.126,350.131,,23
,,,,,6,3146,,,,,,,,,,,,,,,,,,350.304,350.884,,22
,,,,,3,466,,,,,,,,,,,,,,,,,,,,,20
,,,,,5,1528,,,,,,,,,,,,,,,,,,,,,19
,,,,,2,149,,,,,,,,,,,,,,,,,,,,,13
,,,,,4,262,,,,,,,,,,,,,,,,,,,,,10
,,,,,7,2010,,,,,,,,,,,,,,,,,,,,,2
,5,2,377,1,1,177,,,,382.713,386.463,386.463,390.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,88
,,,,,2,211,,,,401.971,402.696,396.16,396.372,,,,,,,,,,,,,,31
,,,,,,,,,,,,397.555,401.828,,,,,,,,,,,,,,0
,,,,,,,,,,,,402.838,402.934,,,,,,,,,,,,,,0
,6,8,404,1,1,1004,,,,409.384,410.601,456.127,456.579,444.778,445.864,442.945,444.777,NA,NA,424.595,425.278,437.528,442.944,427.841,435.127,,24
,,,,,6,985,,,,421.128,424.594,,,456.622,456.674,,,,,451.167,451.877,448.727,450.16,454.944,455.316,,16
,,,,,8,301,,,,451.877,452.61,,,,,,,,,454.58,454.708,455.316,456.127,,,,15
,,,,,5,30,,,,453.427,454.58,,,,,,,,,454.915,454.932,,,,,,13
,,,,,7,1192,,,,,,,,,,,,,,,,,,,,,9
,,,,,4,510,,,,,,,,,,,,,,,,,,,,,7
,,,,,2,312,,,,,,,,,,,,,,,,,,,,,7
,,,,,3,152,,,,,,,,,,,,,,,,,,,,,4
,7,8,456,2,5,532,,,,484.709,486.792,486.793,487.992,500.908,503.375,475.06,484.709,NA,NA,496.092,496.742,508.117,508.277,503.376,508.053,,16
,,,,,4,1012,,,,,,494.363,494.625,,,,,,,,,,,,,,15
,,,,,1,739,,,,,,494.641,496.092,,,,,,,,,,,,,,14
,,,,,2,302,,,,,,,,,,,,,,,,,,,,,7
,,,,,6,860,,,,,,,,,,,,,,,,,,,,,7
,,,,,3,734,,,,,,,,,,,,,,,,,,,,,6
,,,,,8,2848,,,,,,,,,,,,,,,,,,,,,3
,,,,,7,195,,,,,,,,,,,,,,,,,,,,,2
,8,2,511,1,1,835,,,,538.659,540.74,543.882,555.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,95
,,,,,2,4415,,,,559.506,561.922,595.218,597.438,,,,,,,,,,,,,,27
,,,,,,,,,,562.872,577.005,,,,,,,,,,,,,,,,0
,,,,,,,,,,593.324,595.202,,,,,,,,,,,,,,,,0
,9,2,597,2,2,1394,,,,654.852,665.493,602.133,603.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,85
,,,,,1,708,,,,665.588,665.796,626.17,630.703,,,,,,,,,,,,,,76
,,,,,,,,,,665.8,665.812,646.852,654.852,,,,,,,,,,,,,,0
,,,,,,,,,,666.196,667.718,667.718,668.759,,,,,,,,,,,,,,0
,,,,,,,,,,675.516,675.873,669.401,671.171,,,,,,,,,,,,,,0
,,,,,,,,,,,,671.189,675.516,,,,,,,,,,,,,,0
,10,2,676,1,1,1713,,,,697.884,703.983,703.984,708.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,80
,,,,,2,421,,,,709.416,712.075,716.066,716.561,,,,,,,,,,,,,,8
,,,,,,,,,,712.711,714.538,,,,,,,,,,,,,,,,0
,,,,,,,,,,714.652,714.685,,,,,,,,,,,,,,,,0
